run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,10639,2190.0,14.0,8.0,5.379362
reference,10639,2220.0,14.0,8.0,7.723603
reference,10639,2250.0,13.0,5.0,5.829335
reference,10639,2280.0,15.0,8.0,6.397004
reference,10639,2310.0,18.0,9.0,8.211315
reference,10639,2340.0,19.0,7.0,4.75493
reference,10639,2370.0,19.0,14.0,0.802616
reference,10639,2400.0,13.0,2.0,9.90011
reference,10639,2430.0,11.0,6.0,2.00448
reference,10639,2460.0,16.0,8.0,12.347317
reference,10639,2490.0,15.0,7.0,10.489272
reference,10639,2520.0,12.0,10.0,1.546664
reference,10639,2550.0,13.0,11.0,1.265136
reference,70,900.0,0.0,0.0,0.0
reference,70,930.0,10.0,0.0,42.599454
reference,70,960.0,4.0,0.0,48.993321
reference,70,990.0,0.0,0.0,0.0
reference,70,1020.0,0.0,0.0,0.0
reference,70,1050.0,3.0,0.0,28.779067
reference,70,1080.0,1.0,0.0,44.524613
reference,70,1110.0,10.0,0.0,36.581478
reference,70,1140.0,6.0,0.0,41.110508
reference,70,1170.0,0.0,0.0,0.0
reference,70,1200.0,2.0,0.0,44.19239
reference,70,1230.0,5.0,0.0,37.928744
reference,70,1260.0,7.0,0.0,50.823016
reference,70,1290.0,0.0,0.0,0.0
reference,70,1320.0,4.0,0.0,48.715783
reference,70,1350.0,3.0,0.0,43.451254
reference,70,1380.0,6.0,0.0,40.016148
reference,70,1410.0,4.0,0.0,46.000088
reference,70,1440.0,5.0,0.0,57.499599
reference,70,1470.0,2.0,0.0,76.11157
reference,70,1500.0,2.0,0.0,42.587317
reference,70,1530.0,1.0,0.0,38.597097
reference,70,1560.0,3.0,0.0,47.646213
reference,70,1590.0,1.0,0.0,39.065547
reference,70,1620.0,0.0,0.0,0.0
reference,70,1650.0,3.0,0.0,68.700086
reference,70,1680.0,3.0,0.0,39.914428
reference,70,1710.0,8.0,0.0,44.729411
reference,70,1740.0,9.0,0.0,42.321642
reference,70,1770.0,5.0,0.0,40.126426
reference,70,1800.0,1.0,0.0,43.262382
reference,70,1830.0,8.0,0.0,43.4326
reference,70,1860.0,5.0,0.0,29.633981
reference,70,1890.0,4.0,0.0,49.239671
reference,70,1920.0,4.0,0.0,51.104586
reference,70,1950.0,2.0,0.0,41.558106
reference,70,1980.0,8.0,0.0,44.442929
reference,70,2010.0,3.0,0.0,40.718967
reference,70,2040.0,8.0,0.0,44.407837
reference,70,2070.0,5.0,0.0,45.800187
reference,70,2100.0,3.0,0.0,43.14605
reference,70,2130.0,7.0,0.0,48.339472
reference,70,2160.0,2.0,0.0,57.385423
reference,70,2190.0,8.0,0.0,36.044711
reference,70,2220.0,0.0,0.0,0.0
reference,70,2250.0,6.0,0.0,41.771133
reference,70,2280.0,10.0,0.0,30.148626
reference,70,2310.0,4.0,0.0,41.62975
reference,70,2340.0,5.0,0.0,53.854803
reference,70,2370.0,1.0,0.0,35.412251
reference,70,2400.0,4.0,0.0,37.478174
reference,70,2430.0,13.0,0.0,37.133113
reference,70,2460.0,5.0,0.0,46.783169
reference,70,2490.0,8.0,0.0,44.338871
reference,70,2520.0,4.0,0.0,43.097365
reference,70,2550.0,1.0,0.0,32.310292
reference,71,900.0,7.0,6.0,7.069042
reference,71,930.0,14.0,14.0,0.12001
reference,71,960.0,30.0,25.0,3.884761
reference,71,990.0,24.0,16.0,7.965561
reference,71,1020.0,28.0,25.0,3.838598
reference,71,1050.0,10.0,5.0,9.86062
reference,71,1080.0,12.0,10.0,4.929243
reference,71,1110.0,19.0,17.0,3.463108
reference,71,1140.0,21.0,13.0,8.705695
reference,71,1170.0,22.0,19.0,2.291697
reference,71,1200.0,11.0,5.0,10.543669
reference,71,1230.0,17.0,15.0,2.140877
reference,71,1260.0,28.0,24.0,1.574375
reference,71,1290.0,30.0,28.0,1.827402
reference,71,1320.0,31.0,31.0,0.0
reference,71,1350.0,20.0,17.0,3.817428
reference,71,1380.0,20.0,19.0,0.484906
reference,71,1410.0,23.0,21.0,2.721901
reference,71,1440.0,11.0,6.0,10.319645
reference,71,1470.0,15.0,12.0,10.995031
reference,71,1500.0,6.0,3.0,19.056164
reference,71,1530.0,19.0,15.0,5.195296
reference,71,1560.0,27.0,25.0,1.506352
