link,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000,d_nc_1000v200
10131,0.4,0.4,0.4,0.4,0.4,-0.0,-0.0,-0.0,-0.0
10207,0.1,0.1,0.1,0.1,0.1,-0.0,0.0,0.0,-0.0
10208,0.2,0.2,0.2,0.2,0.2,-0.0,-0.0,-0.0,0.0
10209,0.5,0.5,0.5,0.5,0.5,-0.0,-0.0,-0.0,-0.0
10210,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10211,0.4,0.4,0.4,0.5,0.4,-0.0,0.1,0.0,-0.0
10212,0.4,0.4,0.4,0.4,0.4,-0.0,-0.0,-0.0,0.0
10214,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
10146,1.1,1.1,1.1,1.1,1.1,-0.0,-0.1,-0.1,0.0
10121,0.3,0.3,0.3,0.3,0.3,-0.0,-0.0,0.0,-0.0
10122,0.3,0.3,0.3,0.3,0.3,-0.0,0.0,0.0,0.0
10124,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-0.0
10125,2.8,2.8,2.8,3.7,2.8,-0.0,0.9,0.0,-0.0
10128,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10165,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
10135,1.7,1.7,1.7,4.4,1.7,-0.0,2.8,0.1,-0.0
10136,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0
10141,0.2,0.2,0.2,0.2,0.2,-0.0,-0.0,-0.0,-0.0
10142,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,-0.0
10143,0.1,0.1,0.1,0.1,0.1,-0.0,0.0,-0.0,-0.0
10144,0.3,0.3,0.3,0.3,0.3,-0.0,0.0,-0.0,-0.0
10238,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
10239,0.1,0.1,0.1,0.1,0.1,0.0,0.0,-0.0,-0.0
10240,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
10241,0.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.0
10242,0.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.0
10243,0.1,0.1,0.1,0.1,0.1,0.0,0.0,-0.0,0.0
10228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10245,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
10246,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
10247,0.1,0.1,0.1,0.1,0.1,-0.0,0.0,-0.0,0.0
10249,0.4,0.4,0.4,0.5,0.5,0.0,0.0,0.0,-0.0
10250,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
10251,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
10252,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
