time_s,network_n,FW_E_n,FW_W_n
5075.1,4141,1048,577
5080.1,4141,1047,579
5085.1,4138,1050,577
5090.1,4113,1051,576
5095.1,4099,1051,576
5100.1,4080,1049,574
5105.1,4079,1052,574
5110.1,4081,1055,572
5115.1,4053,1053,574
5120.1,4045,1045,576
5125.1,4044,1040,576
5130.1,4030,1039,573
5135.1,4022,1034,578
5140.1,4007,1035,589
5145.1,3996,1031,592
5150.1,3980,1028,593
5155.1,3978,1031,598
5160.1,3969,1034,598
5165.1,3961,1036,591
5170.1,3960,1034,590
5175.1,3956,1032,588
5180.1,3977,1035,590
5185.1,3978,1044,585
5190.1,3990,1055,581
5195.1,4006,1059,584
5200.1,4019,1063,583
5205.1,4027,1057,588
5210.1,4026,1056,585
5215.1,4021,1050,595
5220.1,4022,1043,600
5225.1,4028,1045,608
5230.1,4016,1039,599
5235.1,4020,1038,598
5240.1,4018,1042,600
5245.1,4002,1035,605
5250.1,3995,1041,604
5255.1,3988,1044,604
5260.1,3982,1038,600
5265.1,3962,1030,602
5270.1,3952,1023,597
5275.1,3948,1029,597
5280.1,3940,1032,593
5285.1,3930,1038,595
5290.1,3922,1039,600
5295.1,3912,1045,596
5300.1,3921,1058,594
5305.1,3914,1063,596
5310.1,3898,1067,599
5315.1,3906,1068,604
5320.1,3910,1069,607
5325.1,3913,1067,605
5330.1,3915,1064,603
5335.1,3910,1055,596
5340.1,3920,1060,598
5345.1,3908,1061,596
5350.1,3912,1066,600
5355.1,3902,1063,603
5360.1,3895,1057,603
5365.1,3902,1059,604
5370.1,3910,1056,604
5375.1,3922,1056,605
5380.1,3926,1049,607
5385.1,3926,1045,614
5390.1,3920,1043,622
5395.1,3912,1042,620
5400.1,3912,1045,617
5405.1,3909,1038,616
5410.1,3912,1037,616
5415.1,3902,1041,613
5420.1,3882,1043,609
5425.1,3887,1046,609
5430.1,3875,1046,608
5435.1,3848,1050,595
5440.1,3834,1058,596
5445.1,3834,1060,602
5450.1,3836,1058,605
5455.1,3815,1048,610
5460.1,3810,1035,619
5465.1,3815,1028,623
5470.1,3805,1026,622
5475.1,3787,1023,616
5480.1,3797,1024,603
5485.1,3803,1026,599
5490.1,3797,1021,594
5495.1,3804,1022,589
5500.1,3797,1017,586
5505.1,3806,1014,586
5510.1,3810,1011,587
5515.1,3812,1012,586
5520.1,3817,1011,590
5525.1,3825,1006,596
5530.1,3819,1002,596
5535.1,3814,1003,600
5540.1,3814,1009,598
5545.1,3796,1014,602
