simsec,sc,states
47,11,RRRGRRRG
47,12,GRRRGRRR
47,101,RRRGRRRG
47,105,RGRRRGRR
47,107,RGRRRGRR
47,108,RGRRRGRR
47,109,RGRRRGRR
47,1001,RRRARRRA
47,1002,RRRARRRA
47,1003,RRRARRRA
47,1004,RRRARRRA
47,1005,RRRARRRA
48,1,ARRRARRR
48,5,RGRRRGRRRGRRRGRRRRRRRRRR
48,6,GRRRGRRR
48,11,RRRGRRRG
48,12,GRRRGRRR
48,101,RRRGRRRG
48,105,RGRRRGRR
48,107,RGRRRGRR
48,108,RGRRRGRR
48,109,RGRRRGRR
48,1001,RRRARRRA
48,1002,RRRARRRA
48,1003,RRRARRRA
48,1004,RRRARRRA
48,1005,RRRARRRA
49,1,ARRRARRR
49,5,RGRRRGRRRGRRRGRRRRRRRRRR
49,6,GRRRGRRR
49,11,RRRGRRRG
49,12,GRRRGRRR
49,101,RRRGRRRG
49,105,RGRRRGRR
49,107,RGRRRGRR
49,108,RGRRRGRR
49,109,RGRRRGRR
49,1001,RRGRRRGR
49,1002,RRGRRRGR
49,1003,RRGRRRGR
49,1004,RRGRRRGR
49,1005,RRGRRRGR
50,1,RRRGRRRG
50,5,RGRRRGRRRGRRRGRRRRRRRRRR
50,6,GRRRGRRR
50,11,RRRGRRRG
50,12,GRRRGRRR
50,101,RRRGRRRG
50,105,RGRRRGRR
50,107,RGRRRGRR
50,108,RARRRARR
50,109,RGRRRGRR
50,1001,RRGRRRGR
50,1002,RRGRRRGR
50,1003,RRGRRRGR
50,1004,RRGRRRGR
50,1005,RRGRRRGR
51,1,RRRGRRRG
51,5,RGRRRGRRRGRRRGRRRRRRRRRR
51,6,GRRRGRRR
51,11,RRRGRRRG
51,12,GRRRGRRR
51,101,RRRGRRRG
51,105,RGRRRGRR
51,107,RGRRRGRR
51,108,RARRRARR
51,109,RARRRARR
51,1001,RRGRRRGR
51,1002,RRGRRRGR
51,1003,RRGRRRGR
51,1004,RRGRRRGR
51,1005,RRGRRRGR
52,1,RRRGRRRG
52,5,RGRRRGRRRGRRRGRRRRRRRRRR
52,6,GRRRGRRR
52,11,RRRGRRRG
52,12,GRRRGRRR
52,101,RRRGRRRG
52,105,RGRRRGRR
52,107,RGRRRGRR
52,108,RARRRARR
52,109,RARRRARR
52,1001,RRGRRRGR
52,1002,RRGRRRGR
52,1003,RRGRRRGR
52,1004,RRGRRRGR
52,1005,RRGRRRGR
53,1,RRRGRRRG
53,5,RGRRRGRRRGRRRGRRRRRRRRRR
53,6,GRRRGRRR
53,11,RRRGRRRG
53,12,GRRRGRRR
53,101,RRRGRRRG
53,105,RGRRRGRR
53,107,RGRRRGRR
53,108,GRRRGRRR
53,109,RARRRARR
53,1001,RRGRRRGR
53,1002,RRGRRRGR
53,1003,RRGRRRGR
53,1004,RRGRRRGR
53,1005,RRGRRRGR
54,1,RRRGRRRG
54,5,RGRRRGRRRGRRRGRRRRRRRRRR
54,6,GRRRGRRR
54,11,RRRARRRA
54,12,GRRRGRRR
54,101,RRRGRRRG
54,105,RGRRRGRR
54,107,RGRRRGRR
54,108,GRRRGRRR
54,109,RRRRGRRR
54,1001,RRGRRRGR
54,1002,RRGRRRGR
54,1003,RRGRRRGR
54,1004,RRGRRRGR
54,1005,RRGRRRGR
55,1,RRRGRRRG
55,5,RGRRRGRRRGRRRGRRRRRRRRRR
55,6,GRRRGRRR
55,11,RRRARRRA
55,12,GRRRGRRR
55,101,RRRGRRRG
55,105,RGRRRGRR
55,107,RGRRRGRR
55,108,GRRRGRRR
55,109,RRRRGRRR
55,1001,RRGRRRGR
55,1002,RRGRRRGR
55,1003,RRGRRRGR
55,1004,RRGRRRGR
55,1005,RRGRRRGR
56,1,RRRGRRRG
56,5,RGRRRGRRRGRRRGRRRRRRRRRR
56,6,GRRRGRRR
56,11,RRRARRRA
56,12,GRRRGRRR
