sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1310.0,110.0,FW_E,14,27.34525323249578,70.97318479721824,17.752934438098876,3.0
1310.0,110.0,FW_E,15,26.187388240140756,66.87344951107781,17.001231715776985,3.0
1310.0,110.0,FW_E,16,20.698351815178494,82.78873379025171,13.437669771326204,3.0
1310.0,110.0,FW_E,17,18.511526194467393,93.87725900778115,12.017950906704236,3.0
1310.0,110.0,FW_E,18,17.48726969459053,100.22573336223856,11.352988752742464,3.0
1310.0,110.0,FW_E,19,16.359086054527467,104.46928752162549,10.620555594201647,3.0
1310.0,110.0,FW_E,20,14.892866416774243,107.14406204420135,9.668664570206536,3.0
1320.0,120.0,FW_W,0,43.24711064580779,77.69400067161597,28.07665057641013,3.0
1320.0,120.0,FW_W,1,49.437680287234784,65.68699094506098,32.09565804525076,3.0
1320.0,120.0,FW_W,2,48.5253613091476,63.044398930483624,31.50336735161884,3.0
1320.0,120.0,FW_W,3,46.00249228137014,62.76737417821128,29.865484240234117,3.0
1320.0,120.0,FW_W,4,48.39666411201199,58.03252524441943,31.41981526732509,3.0
1320.0,120.0,FW_W,5,56.61273846047041,46.28996088153467,36.753809727226304,3.0
1320.0,120.0,FW_W,6,43.42457804290094,59.97181866347965,32.218013108886105,2.625102754062421
1320.0,120.0,FW_W,7,30.368506146023837,68.97725434231654,14.786755511355654,4.0
1320.0,120.0,FW_W,8,24.170492980040848,86.08982748235478,11.768875576765804,4.0
1320.0,120.0,FW_W,9,20.6767597386589,98.71397368253658,10.067738911899761,4.0
1320.0,120.0,FW_W,10,18.88916433800846,104.91654511621931,9.197339294100226,4.0
1320.0,120.0,FW_W,11,18.303025530166753,104.58355030446253,8.928000516239242,3.9928052986080247
1320.0,120.0,FW_W,12,14.560539928816393,101.71476787427326,7.08968505087069,4.0
1320.0,120.0,FW_W,13,20.140971391246325,90.31130300825622,9.80685774570317,4.0
1320.0,120.0,FW_W,14,21.859772479659416,84.18851916902972,10.643760665616602,4.0
1320.0,120.0,FW_W,15,23.005791300593614,83.05160707036262,11.20176967781771,4.0
1320.0,120.0,FW_W,16,21.207277861665094,94.38719683624684,10.32605394858664,4.0
1320.0,120.0,FW_W,17,20.6617598096926,101.56205634287384,10.060435283553806,4.0
1320.0,120.0,FW_W,18,20.64080007123322,105.41450715034826,10.050229759229014,4.0
1320.0,120.0,FW_W,19,20.48263289641098,107.7734792697825,9.973216443764219,4.0
1320.0,120.0,FW_W,20,19.875009245270416,109.48322123421072,9.677357887892871,4.0
1320.0,120.0,FW_E,0,36.99523627383952,91.60150203202495,18.013382391472202,4.0
1320.0,120.0,FW_E,1,37.08960566315818,91.35155221284136,18.059331872190853,4.0
1320.0,120.0,FW_E,2,36.65173960014711,92.28289846571154,17.84613012992102,4.0
1320.0,120.0,FW_E,3,36.10542416741597,93.23690856400198,17.580123211535486,4.0
1320.0,120.0,FW_E,4,35.43825890832076,94.26772674386343,17.255273199998033,4.0
1320.0,120.0,FW_E,5,34.70227660401123,95.32350308183159,16.896915421641058,4.0
1320.0,120.0,FW_E,6,33.83107764621511,96.49206202411698,16.472719185950822,4.0
1320.0,120.0,FW_E,7,33.25346680211991,96.34681732252169,16.191474191835045,4.0
1320.0,120.0,FW_E,8,32.78554037166574,96.95174872292502,16.11605783163992,3.9621688869333025
1320.0,120.0,FW_E,9,31.179931606976652,83.75649186167152,15.18184738216107,4.0
1320.0,120.0,FW_E,10,34.86478826648718,80.34394152369819,16.97604411533515,4.0
