run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15902,2,3,1698.99,4433.517,8,5.36,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15916,2,2,1913.48,4648.007,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15933,2,3,1911.14,4645.667,9,5.43,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15943,2,3,1865.16,4599.687,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15958,2,3,1935.68,4670.207,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15988,2,2,1558.04,4292.567,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15997,2,3,1859.24,4593.767,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16032,2,2,1989.98,4724.507,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16033,2,1,1775.79,4510.317,8,6.15,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16035,2,3,1780.42,4514.947,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16046,2,1,1674.09,4408.617,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16048,2,2,1387.59,4122.117,8,0.23,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16049,2,3,1841.46,4575.987,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16067,2,2,1638.0,4372.527,8,6.36,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16089,2,2,1826.9,4561.427,8,2.61,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16097,2,1,1518.09,4252.617,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16115,2,3,1882.35,4616.877,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16153,2,3,1823.94,4558.467000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16158,2,2,1683.06,4417.5869999999995,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16159,2,1,1656.15,4390.677,8,4.67,stopped
