sim_sec,controller_mode,sc_no,control_name,sg1_state,sg2_state,phase_label
46,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
47,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
47,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
47,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
47,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
47,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
47,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
47,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
48,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
48,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
48,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
48,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
48,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
48,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
48,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
49,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
49,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
49,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
49,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
49,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
49,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
49,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
50,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
50,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
50,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
50,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
50,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
50,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
50,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
51,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
51,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
51,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
51,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
51,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
51,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
51,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
52,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
52,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
52,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
52,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
52,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
52,COM_FIXED_TIME,6,RM_D,AMBER,,RAMP_AMBER
52,COM_FIXED_TIME,7,RM_F,AMBER,,RAMP_AMBER
53,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
53,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
53,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
53,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
53,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
53,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
53,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
54,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
54,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
54,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
54,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
54,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
54,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
54,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
55,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
55,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
55,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
55,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
