time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s
250.1,838,10482,departure,120,1,459.05,69.75,40.0,245.1,250.1
250.1,582,10639,arrival,,1,7.64,41.89,,245.1,250.1
250.1,716,10482,departure,120,1,526.37,48.84,55.0,245.1,250.1
250.1,599,10491,arrival,,1,132.6,101.68,,245.1,250.1
250.1,480,10491,departure,127,1,216.97,76.18,10.0,245.1,250.1
250.1,610,10644,arrival,,1,39.23,34.93,,245.1,250.1
250.1,747,10482,departure,120,1,510.59,44.83,50.0,245.1,250.1
250.1,491,10491,arrival,,1,98.46,102.91,,245.1,250.1
250.1,622,10682,arrival,,1,151.33,108.05,,245.1,250.1
250.1,368,10491,departure,129,1,143.22,93.59,10.0,245.1,250.1
250.1,633,10491,arrival,,1,28.79,108.34,,245.1,250.1
250.1,1267,10482,arrival,,2,50.75,41.84,,245.1,250.1
255.1,769,10490,departure,119,1,347.03,73.75,30.0,250.1,255.1
255.1,262,10481,arrival,,1,23.48,114.17,,250.1,255.1
255.1,1273,10482,arrival,,1,30.31,40.35,,250.1,255.1
255.1,650,10682,departure,121,1,107.01,109.66,5.0,250.1,255.1
255.1,655,10643,arrival,,2,46.06,108.56,,250.1,255.1
255.1,532,10491,arrival,,1,13.06,112.07,,250.1,255.1
255.1,544,10479,arrival,,1,93.65,117.37,,250.1,255.1
255.1,560,10491,departure,127,1,198.09,95.82,10.0,250.1,255.1
255.1,944,10482,departure,120,1,527.75,56.85,45.0,250.1,255.1
255.1,1335,10482,arrival,,2,41.61,44.98,,250.1,255.1
255.1,572,10682,departure,123,1,218.05,100.49,10.0,250.1,255.1
255.1,191,10481,departure,127,1,444.96,118.59,15.0,250.1,255.1
255.1,579,10682,departure,121,1,190.38,97.95,10.0,250.1,255.1
255.1,967,10482,departure,120,1,430.19,70.81,40.0,250.1,255.1
255.1,970,10482,departure,120,1,512.9,61.55,40.0,250.1,255.1
255.1,599,10491,departure,129,1,132.6,101.68,5.0,250.1,255.1
255.1,90,10646,arrival,,1,66.28,72.29,,250.1,255.1
255.1,857,10644,arrival,,1,57.59,42.46,,250.1,255.1
255.1,477,10491,departure,129,1,164.07,98.91,10.0,250.1,255.1
255.1,733,10643,departure,10641,1,194.3,123.01,10.0,250.1,255.1
255.1,990,10482,departure,120,2,525.6,53.7,45.0,250.1,255.1
255.1,608,10643,departure,71,2,283.45,96.32,10.0,250.1,255.1
255.1,609,10479,departure,125,1,232.85,111.92,10.0,250.1,255.1
255.1,222,10645,arrival,,1,90.4,108.21,,250.1,255.1
255.1,1128,10490,arrival,,1,2.03,41.69,,250.1,255.1
255.1,618,10643,departure,71,2,314.88,94.5,15.0,250.1,255.1
255.1,622,10682,departure,121,1,151.33,108.05,5.0,250.1,255.1
255.1,245,10645,arrival,,1,56.36,106.61,,250.1,255.1
255.1,121,10638,departure,126,2,281.34,109.91,10.0,250.1,255.1
260.1,516,10491,departure,129,1,195.45,68.2,10.000000000000028,255.10000000000002,260.1
260.1,134,10645,arrival,,1,96.71,107.95,,255.10000000000002,260.1
260.1,149,10638,arrival,,1,108.34,125.62,,255.10000000000002,260.1
260.1,789,10643,arrival,,2,19.1,122.76,,255.10000000000002,260.1
260.1,792,10643,departure,71,1,276.53,94.69,10.000000000000028,255.10000000000002,260.1
