link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
31,1800,1,ramp,192,4,733.739990234375,734.0499877929688,37
31,1800,1,signal,391,0,,,86
31,1800,2,ramp,29,0,,,14
31,1800,2,signal,383,0,,,87
31,1800,3,ramp,2,0,,,2
31,1800,3,signal,338,0,,,63
31,1950,1,ramp,124,0,,,38
31,1950,1,signal,321,1,730.8699951171875,730.8699951171875,63
31,1950,2,ramp,10,0,,,8
31,1950,2,signal,444,0,,,72
31,1950,3,ramp,5,0,,,5
31,1950,3,signal,323,0,,,53
31,2100,1,ramp,389,186,658.5900268554688,730.719970703125,40
31,2100,1,signal,355,2,693.780029296875,699.9000244140625,72
31,2100,2,ramp,11,0,,,8
31,2100,2,signal,536,0,,,76
31,2100,3,ramp,6,0,,,6
31,2100,3,signal,291,0,,,54
31,2250,1,ramp,521,324,637.1699829101562,734.739990234375,41
31,2250,1,signal,309,5,641.760009765625,652.260009765625,67
31,2250,2,ramp,16,0,,,8
31,2250,2,signal,476,0,,,69
31,2250,3,ramp,4,0,,,4
31,2250,3,signal,243,0,,,38
31,2400,1,ramp,381,157,345.20001220703125,734.9000244140625,46
31,2400,1,signal,342,4,684.8599853515625,701.510009765625,74
31,2400,2,ramp,14,0,,,11
31,2400,2,signal,384,0,,,66
31,2400,3,ramp,4,0,,,4
31,2400,3,signal,232,0,,,44
31,2550,1,ramp,195,60,702.1400146484375,734.510009765625,35
31,2550,1,signal,320,4,696.3900146484375,720.0399780273438,75
31,2550,2,ramp,14,0,,,7
31,2550,2,signal,417,0,,,78
31,2550,3,ramp,5,0,,,5
31,2550,3,signal,251,0,,,54
31,2700,1,ramp,234,84,703.219970703125,734.6799926757812,35
31,2700,1,signal,406,2,709.7000122070312,713.0399780273438,84
31,2700,2,ramp,16,0,,,8
31,2700,2,signal,470,0,,,68
31,2700,3,ramp,3,0,,,3
31,2700,3,signal,238,0,,,38
31,2850,1,ramp,164,35,712.510009765625,734.52001953125,29
31,2850,1,signal,356,1,717.8800048828125,717.8800048828125,79
31,2850,2,ramp,17,0,,,8
31,2850,2,signal,498,1,711.1799926757812,711.1799926757812,72
31,2850,3,ramp,6,0,,,6
31,2850,3,signal,255,0,,,51
31,3000,1,ramp,291,53,714.97998046875,734.5399780273438,46
31,3000,1,signal,368,2,709.4000244140625,714.0900268554688,75
31,3000,2,ramp,30,0,,,11
31,3000,2,signal,485,0,,,63
31,3000,3,ramp,8,0,,,7
31,3000,3,signal,198,0,,,41
31,3150,1,ramp,343,27,337.989990234375,734.4199829101562,54
31,3150,1,signal,349,3,351.9700012207031,728.4400024414062,82
31,3150,2,ramp,25,0,,,13
31,3150,2,signal,480,0,,,77
31,3150,3,ramp,7,0,,,6
31,3150,3,signal,305,0,,,54
31,3300,1,ramp,224,69,694.5499877929688,734.8599853515625,35
31,3300,1,signal,465,1,731.0700073242188,731.0700073242188,94
31,3300,2,ramp,26,0,,,12
31,3300,2,signal,510,0,,,91
31,3300,3,ramp,3,0,,,3
31,3300,3,signal,345,0,,,58
31,3450,1,ramp,423,249,333.239990234375,730.72998046875,41
31,3450,1,signal,459,5,675.6300048828125,687.8499755859375,74
31,3450,2,ramp,28,0,,,11
31,3450,2,signal,501,2,673.9099731445312,676.530029296875,63
31,3450,3,ramp,4,0,,,3
31,3450,3,signal,321,0,,,42
31,3600,1,ramp,610,427,622.239990234375,730.72998046875,45
31,3600,1,signal,365,0,,,66
31,3600,2,ramp,15,0,,,9
31,3600,2,signal,403,1,652.739990234375,652.739990234375,53
31,3600,3,ramp,2,0,,,2
31,3600,3,signal,313,0,,,39
31,3750,1,ramp,801,660,556.760009765625,730.72998046875,52
31,3750,1,signal,400,0,,,57
31,3750,2,ramp,25,0,,,9
31,3750,2,signal,230,0,,,37
31,3750,3,ramp,7,0,,,7
31,3750,3,signal,155,0,,,24
31,3900,1,ramp,953,853,354.0199890136719,730.72998046875,59
31,3900,1,signal,292,1,544.47998046875,544.47998046875,45
31,3900,2,ramp,9,0,,,6
31,3900,2,signal,283,0,,,26
31,3900,3,ramp,2,0,,,2
31,3900,3,signal,64,0,,,10
31,4050,1,ramp,980,872,350.20001220703125,730.72998046875,56
31,4050,1,signal,537,101,508.8299865722656,544.47998046875,64
31,4050,2,ramp,10,0,,,5
31,4050,2,signal,445,0,,,47
31,4050,3,ramp,5,0,,,4
31,4050,3,signal,123,0,,,15
31,4200,1,ramp,764,598,550.760009765625,734.489990234375,46
31,4200,1,signal,694,218,496.75,619.989990234375,79
31,4200,2,ramp,2,0,,,2
31,4200,2,signal,427,0,,,46
31,4200,3,ramp,3,0,,,3
31,4200,3,signal,196,0,,,28
31,4350,1,ramp,338,212,619.7899780273438,734.8099975585938,36
31,4350,1,signal,912,391,534.02001953125,696.25,87
31,4350,2,ramp,16,0,,,5
31,4350,2,signal,353,0,,,53
31,4350,3,ramp,2,0,,,2
31,4350,3,signal,312,0,,,36
31,4500,1,ramp,137,10,717.1799926757812,734.739990234375,37
31,4500,1,signal,1132,646,553.3300170898438,732.5700073242188,91
31,4500,2,ramp,9,0,,,5
31,4500,2,signal,335,0,,,49
31,4500,3,ramp,3,0,,,3
31,4500,3,signal,285,0,,,28
31,4650,1,ramp,47,0,,,14
31,4650,1,signal,1490,1058,483.3999938964844,732.5700073242188,94
31,4650,2,ramp,7,0,,,6
31,4650,2,signal,330,0,,,39
31,4650,3,ramp,2,0,,,2
31,4650,3,signal,148,0,,,23
31,4800,1,ramp,43,0,,,16
31,4800,1,signal,1621,1336,447.5199890136719,732.5700073242188,104
31,4800,2,ramp,6,0,,,4
31,4800,2,signal,271,0,,,49
31,4800,3,ramp,2,0,,,2
31,4800,3,signal,121,0,,,27
31,4950,1,ramp,67,0,,,21
31,4950,1,signal,1865,1474,428.0799865722656,732.5700073242188,110
31,4950,2,ramp,4,0,,,4
31,4950,2,signal,229,0,,,39
31,4950,3,ramp,2,0,,,2
31,4950,3,signal,129,0,,,26
31,5100,1,ramp,6,0,,,4
31,5100,1,signal,2122,1786,310.8299865722656,732.5700073242188,125
31,5100,2,signal,305,9,407.0899963378906,407.0899963378906,50
31,5100,3,signal,137,0,,,27
31,5250,1,signal,2670,2300,223.72000122070312,732.5700073242188,144
31,5250,2,signal,498,24,351.30999755859375,407.0899963378906,71
31,5250,3,signal,345,0,,,43
32,0,1,ramp,286,0,,,27
32,0,1,signal,64,3,1947.81005859375,1954.010009765625,9
32,0,2,ramp,228,0,,,30
32,0,2,signal,28,0,,,7
32,0,3,ramp,41,0,,,15
32,0,3,signal,19,0,,,2
32,150,1,ramp,398,1,1268.5999755859375,1268.5999755859375,39
32,150,1,signal,277,75,1895.3499755859375,1954.2099609375,48
32,150,2,ramp,412,0,,,43
32,150,2,signal,203,74,1906.0899658203125,1954.1600341796875,47
32,150,3,ramp,29,0,,,16
32,150,3,signal,204,71,1911.449951171875,1953.9200439453125,31
32,300,1,ramp,431,0,,,35
32,300,1,signal,472,188,1822.8699951171875,1954.2099609375,56
32,300,2,ramp,370,0,,,38
32,300,2,signal,536,253,1813.9100341796875,1954.1600341796875,76
32,300,3,ramp,35,0,,,16
32,300,3,signal,529,323,1811.010009765625,1954.0899658203125,52
32,450,1,ramp,355,0,,,35
32,450,1,signal,632,402,1716.75,1954.1099853515625,68
