link,bin,lane,cls,seg,rows,stopped,mean_speed
31,450,2,signal,1300,30,0,67.947334
31,450,2,signal,1400,30,0,57.843998
31,450,2,signal,1500,34,0,58.406178
31,450,2,signal,1600,32,0,56.989376
31,450,2,signal,1700,33,0,58.325455
31,450,2,signal,1800,30,0,61.877335
31,450,2,signal,1900,21,0,68.08952
31,450,3,ramp,0,3,0,73.93333
31,450,3,ramp,100,3,0,78.61667
31,450,3,ramp,200,1,0,72.04
31,450,3,signal,700,6,0,77.93167
31,450,3,signal,800,8,0,94.41125
31,450,3,signal,900,10,0,95.931
31,450,3,signal,1000,11,0,103.67
31,450,3,signal,1100,17,0,106.458824
31,450,3,signal,1200,15,0,87.926
31,450,3,signal,1300,24,0,79.729164
31,450,3,signal,1400,25,0,76.8688
31,450,3,signal,1500,27,0,71.00815
31,450,3,signal,1600,34,0,77.791176
31,450,3,signal,1700,31,0,69.4071
31,450,3,signal,1800,32,0,78.58844
31,450,3,signal,1900,31,0,82.60194
31,600,1,ramp,0,12,0,42.318333
31,600,1,ramp,100,13,0,47.227695
31,600,1,ramp,200,16,0,45.333126
31,600,1,ramp,300,34,0,37.600002
31,600,1,ramp,400,10,0,42.953
31,600,1,ramp,500,7,0,44.69286
31,600,1,ramp,600,16,0,41.183125
31,600,1,ramp,700,5,0,44.412
31,600,1,signal,0,4,0,39.705
31,600,1,signal,100,3,0,41.34667
31,600,1,signal,200,1,0,43.76
31,600,1,signal,300,5,0,40.614002
31,600,1,signal,400,3,0,38.336666
31,600,1,signal,500,1,0,45.33
31,600,1,signal,600,31,0,63.918064
31,600,1,signal,700,17,0,72.37883
31,600,1,signal,800,20,0,94.347
31,600,1,signal,900,45,0,90.49911
31,600,1,signal,1000,35,0,86.312
31,600,1,signal,1100,30,0,91.364334
31,600,1,signal,1200,27,0,88.06036
31,600,1,signal,1300,21,0,91.290474
31,600,1,signal,1400,22,0,95.75364
31,600,1,signal,1500,20,0,96.011
31,600,1,signal,1600,15,0,108.29
31,600,1,signal,1700,17,0,105.23235
31,600,1,signal,1800,10,0,114.490005
31,600,1,signal,1900,17,0,110.34117
31,600,2,ramp,0,7,0,48.155712
31,600,2,ramp,100,8,0,53.39125
31,600,2,ramp,200,6,0,48.398335
31,600,2,ramp,300,8,0,42.93
31,600,2,ramp,400,6,0,44.393337
31,600,2,ramp,500,2,0,51.705
31,600,2,ramp,600,1,0,52.7
31,600,2,ramp,700,1,0,41.05
31,600,2,signal,100,1,0,59.25
31,600,2,signal,200,2,0,54.805
31,600,2,signal,300,7,0,41.624287
31,600,2,signal,400,17,0,43.97706
31,600,2,signal,500,19,0,41.966316
31,600,2,signal,600,22,0,45.195908
31,600,2,signal,700,26,0,55.688847
31,600,2,signal,800,22,0,51.366817
31,600,2,signal,900,26,0,57.125385
31,600,2,signal,1000,29,0,62.022068
31,600,2,signal,1100,29,0,66.966896
31,600,2,signal,1200,23,0,66.97652
31,600,2,signal,1300,26,0,72.207695
31,600,2,signal,1400,23,0,72.6487
31,600,2,signal,1500,20,0,71.45
31,600,2,signal,1600,19,0,77.18632
31,600,2,signal,1700,20,0,86.615005
31,600,2,signal,1800,22,0,75.00182
31,600,2,signal,1900,17,0,95.61647
31,600,3,ramp,0,10,0,54.146996
31,600,3,ramp,100,6,0,51.786667
31,600,3,ramp,200,5,0,69.394
31,600,3,ramp,300,1,0,76.23
31,600,3,ramp,400,2,0,57.57
31,600,3,ramp,500,2,0,56.87
